,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
0,BBCBreaking,Sun Sep 09 18:09:57 +0000 2018,1,0.6249,0.282,0.718,0.0,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb"
1,BBCBreaking,Sun Sep 09 17:03:42 +0000 2018,2,-0.8555,0.0,0.58,0.42,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW"
2,BBCBreaking,Sat Sep 08 21:47:17 +0000 2018,3,0.8402,0.34,0.577,0.083,Naomi Osaka beats Serena Williams 6-2 6-4 to win US Open - the first Japanese player to win Grand Slam singles title https://t.co/y9hsSHkKZy
3,BBCBreaking,Sat Sep 08 17:02:27 +0000 2018,4,-0.9231,0.0,0.53,0.47,"Woman, 28, arrested after man stabbed in Barnsley, South Yorkshire is being held on suspicion of attempted murder https://t.co/iWCXSe2gLM"
4,BBCBreaking,Sat Sep 08 09:38:43 +0000 2018,5,-0.7184,0.0,0.76,0.24,"One person arrested after reports man had been stabbed in Barnsley town centre, as police investigate if it was an… https://t.co/oyYQpXLyph"
5,BBCBreaking,Sat Sep 08 09:10:30 +0000 2018,6,-0.0772,0.0,0.902,0.098,"Police responding to ""serious incident"" in Barnsley, South Yorkshire, the force says https://t.co/hIXI30hWJ9"
6,BBCBreaking,Fri Sep 07 21:28:58 +0000 2018,7,-0.6486,0.0,0.815,0.185,"US rapper Mac Miller found dead at his Los Angeles home aged 26 after apparent overdose, US media report https://t.co/ytKhUKCXkC"
7,BBCBreaking,Fri Sep 07 20:45:14 +0000 2018,8,-0.765,0.0,0.72,0.28,Former Donald Trump aide George Papadopoulos jailed for 14 days for lying to the FBI in Russia investigation https://t.co/SIBVvJz398
8,BBCBreaking,Fri Sep 07 07:00:15 +0000 2018,9,-0.7871,0.14,0.433,0.427,"BA boss ""extremely sorry"" after some customers' data stolen in ""very sophisticated criminal attack"" on website https://t.co/PGrIfzJlnG"
9,BBCBreaking,Thu Sep 06 20:55:50 +0000 2018,10,-0.8225,0.0,0.612,0.388,Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F
10,BBCBreaking,Thu Sep 06 19:28:33 +0000 2018,11,0.4019,0.153,0.847,0.0,"Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars… https://t.co/FNVMKFPafC"
11,BBCBreaking,Thu Sep 06 19:06:08 +0000 2018,12,0.0,0.0,1.0,0.0,"Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Delive… https://t.co/eeqUAl3qVP"
12,BBCBreaking,Thu Sep 06 17:00:22 +0000 2018,13,-0.2732,0.0,0.87,0.13,A planned tax cut for 2.7m self-employed workers has been scrapped by the UK government https://t.co/v9Mbp69qsd
13,BBCBreaking,Thu Sep 06 15:10:53 +0000 2018,14,0.3245,0.298,0.543,0.159,"US, France, Germany and Canada agree with UK that Russian government ""almost certainly"" approved Salisbury poisoning https://t.co/zEJwB5R0mT"
14,BBCBreaking,Thu Sep 06 10:35:28 +0000 2018,15,-0.5574,0.0,0.783,0.217,"Cranberries singer Dolores O'Riordan died by drowning due to alcohol intoxication, inquest told https://t.co/CdevEV5EYs"
15,BBCBreaking,Thu Sep 06 06:28:06 +0000 2018,16,-0.128,0.227,0.524,0.249,Gay sex is no longer a crime in India after a historic verdict by the Supreme Court https://t.co/GnrdzPPSuF
16,BBCBreaking,Wed Sep 05 12:11:06 +0000 2018,17,-0.7351,0.0,0.721,0.279,"""This was not a rogue operation""

UK PM Theresa May says suspects in Salisbury poisoning investigation were Russian… https://t.co/MbTg37F5H6"
17,BBCBreaking,Wed Sep 05 12:05:07 +0000 2018,18,-0.34,0.131,0.636,0.233,"Two Salisbury attack suspects are believed to be Russian military intelligence officers, UK PM Theresa May says https://t.co/cC5Plpg7J4"
